idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2023-01-02/2023-01-08,12.0,2.9,11.100000000000001,12.7,48.9
5707,2023-01-09/2023-01-15,12.8,-2.2,1.6,18.9,79.8
5707,2023-01-16/2023-01-22,7.7,-3.8,8.7,24.8,70.6
5707,2023-01-23/2023-01-29,10.4,-3.9,0.4,12.2,62.7
5707,2023-01-30/2023-02-05,19.8,-4.3,0.0,31.0,84.1
5707,2023-02-06/2023-02-12,13.2,-5.2,0.0,18.2,78.8
5707,2023-02-13/2023-02-19,15.2,-2.1,0.0,14.7,95.4
5707,2023-02-20/2023-02-26,14.8,1.9,14.2,19.6,79.9
5707,2023-02-27/2023-03-05,14.5,-1.8,6.1,12.5,101.0
5707,2023-03-06/2023-03-12,18.3,1.4,3.8,21.0,91.6
5707,2023-03-13/2023-03-19,15.6,2.7,27.7,46.4,105.9
5707,2023-03-20/2023-03-26,20.6,4.0,1.8,17.4,106.8
5707,2023-03-27/2023-04-02,18.7,1.6,6.0,32.7,133.3
5707,2023-04-03/2023-04-09,17.7,1.4,4.0,18.9,118.7
5707,2023-04-10/2023-04-16,19.6,2.7,12.2,26.4,113.5
5707,2023-04-17/2023-04-23,22.1,6.7,52.900000000000006,21.5,122.8
5707,2023-04-24/2023-04-30,21.4,6.5,23.2,21.0,123.5
5707,2023-05-01/2023-05-07,25.7,9.2,30.1,18.1,148.7
5707,2023-05-08/2023-05-14,22.1,9.0,80.8,27.7,125.3
5707,2023-05-15/2023-05-21,22.8,8.0,40.1,21.3,105.1
5707,2023-05-22/2023-05-28,26.6,12.0,47.7,19.5,140.2
5707,2023-05-29/2023-06-04,25.4,14.6,13.600000000000001,19.1,156.3
5707,2023-06-05/2023-06-11,25.1,13.9,20.7,17.3,156.6
5707,2023-06-12/2023-06-18,27.9,15.2,28.2,14.1,163.4
5707,2023-06-19/2023-06-25,32.1,17.2,0.7,28.9,189.6
5707,2023-06-26/2023-07-02,32.4,16.6,26.3,19.3,183.5
5707,2023-07-03/2023-07-09,31.1,16.5,29.8,16.8,156.1
5707,2023-07-10/2023-07-16,33.1,17.5,63.699999999999996,18.0,199.4
5707,2023-07-17/2023-07-23,32.0,17.6,19.8,15.9,168.5
5707,2023-07-24/2023-07-30,28.7,15.9,24.0,24.9,149.0
